PeakID (cmd=annotatePeaks.pl filtered_anova.tsv mm10 -go filtered_anova_anno_go -annStats filtered_anova_anno.stats)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-544	chr5	15680645	15680644	-	0.933333333333333	NA	promoter-TSS (NR_001585)	promoter-TSS (NR_001585)	-66	NR_001585	75858		NR_001585	ENSMUSG00000089871	Speer4cos	4930568L21Rik|SPEER-7|Speer7-ps|Speer7-ps1	spermatogenesis associated glutamate (E)-rich protein 4C, opposite strand transcript	pseudo
1-476	chr5	15000021	15000020	-	0.933333333333333	NA	Intergenic	MMERVK10C-int|LTR|ERVK	-21121	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-203	chr13	119495248	119495247	-	0.933333333333333	NA	intron (NM_001370626, intron 2 of 2)	intron (NM_001370626, intron 2 of 2)	6774	NM_001370627	633640		NM_001039244	ENSMUSG00000074634	Tmem267	EG633640|Gm7120	transmembrane protein 267	protein-coding
1-681	chr9	3038007	3038006	-	0.933333333333333	NA	TTS (NR_039546)	TTS (NR_039546)	737	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA
1-632	chr7	59797301	59797300	+	0.933333333333333	NA	non-coding (NR_146211, exon 48 of 172)	non-coding (NR_146211, exon 48 of 172)	-45720	NR_002895	64243		NR_002895	ENSMUSG00000118899	Gm26504	MBII-85|Pwcr1|Snord116	predicted gene, 26504	snoRNA
1-555	chr5	15702392	15702391	-	0.933333333333333	NA	intron (NR_001585, intron 2 of 4)	B1_Mus2|SINE|Alu	11880	NM_001281511	100502967		NM_001281511	ENSMUSG00000073208	Speer4c1	4933431D05Rik|SPEER-4C|Speer4c	spermatogenesis associated glutamate (E)-rich protein 4C1	protein-coding
1-270	chr17	13399233	13399232	-	0.933333333333333	NA	Intergenic	Intergenic	44660	NM_001167578	100041352		NM_001167578	ENSMUSG00000052469	Tcp10c	D17Leh66C|D17Leh66ca|Gm9880|T66C-a|Tcp-10c	t-complex protein 10c	protein-coding
1-112	chr11	3127606	3127605	+	0.932203389830508	NA	non-coding (NR_003517, exon 3 of 7)	non-coding (NR_003517, exon 3 of 7)	3603	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
1-34	chr1	85594115	85594114	+	0.931034482758621	NA	intron (NM_175397, intron 4 of 12)	intron (NM_175397, intron 4 of 12)	4696	NM_030194	109032		NM_030194	ENSMUSG00000070034	Sp110	5031415C07Rik|52kDa|5830484A20Rik|Ifi75|Ipr1	Sp110 nuclear body protein	protein-coding
1-694	chrX	34334281	34334280	-	0.928571428571429	NA	Intergenic	IAPLTR3-int|LTR|ERVK	-172696	NM_001099643	100042254		NM_001099643	ENSMUSG00000078213	Btbd35f4	Gm3750	BTB domain containing 35, family member 4	protein-coding
1-67	chr1	88282241	88282240	-	0.928571428571429	NA	Intergenic	Arthur1|DNA|hAT-Tip100	-4661	NM_198652	381280		NM_198652	ENSMUSG00000044783	Hjurp	6430706D22Rik|A730008H23Rik|C330011F01Rik|Gm975|Mfleg1	Holliday junction recognition protein	protein-coding
1-199	chr13	119494870	119494869	-	0.928571428571429	NA	intron (NM_001370626, intron 2 of 2)	intron (NM_001370626, intron 2 of 2)	6396	NM_001370627	633640		NM_001039244	ENSMUSG00000074634	Tmem267	EG633640|Gm7120	transmembrane protein 267	protein-coding
1-445	chr5	14903539	14903538	+	0.928571428571429	NA	Intergenic	Intergenic	11351	NM_198666	381714		NM_198666	ENSMUSG00000033219	Gm9758	-	predicted gene 9758	protein-coding
1-488	chr5	15032239	15032238	+	0.928571428571429	NA	intron (NM_182957, intron 1 of 4)	intron (NM_182957, intron 1 of 4)	769	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-116	chr11	3129107	3129106	-	0.926829268292683	NA	non-coding (NR_003517, exon 4 of 7)	non-coding (NR_003517, exon 4 of 7)	5104	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
1-111	chr11	3127599	3127598	-	0.923076923076923	NA	non-coding (NR_003517, exon 3 of 7)	non-coding (NR_003517, exon 3 of 7)	3596	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
1-375	chr4	145690050	145690049	+	0.923076923076923	NA	intron (NM_001103158, intron 2 of 4)	intron (NM_001103158, intron 2 of 4)	19352	NM_001103158	100041379		NM_001103158	ENSMUSG00000058186	Zfp980	Gm13242	zinc finger protein 980	protein-coding
1-82	chr1	136253007	136253006	+	0.923076923076923	NA	Intergenic	Intergenic	7920	NM_001101516	383563		NM_001101516	ENSMUSG00000052759	Gpr25	Gm1300	G protein-coupled receptor 25	protein-coding
1-99	chr10	81144256	81144255	+	0.923076923076923	NA	exon (NM_010731, exon 2 of 3)	exon (NM_010731, exon 2 of 3)	7984	NM_010731	16969		NM_010731	ENSMUSG00000035011	Zbtb7a	9030619K07Rik|9130006G12Rik|FBI-1|Lrf|Pokemon|Zbtb7	zinc finger and BTB domain containing 7a	protein-coding
1-628	chr7	22889789	22889788	+	0.923076923076923	NA	intron (NM_001270494, intron 1 of 1).3	IAPEY5_LTR|LTR|ERVK	10967	NM_001270494	628664		NM_001270494	ENSMUSG00000094682	Gm6902	EG628664	predicted gene 6902	protein-coding
1-492	chr5	15043603	15043602	-	0.923076923076923	NA	Intergenic	Intergenic	-10595	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-121	chr11	3143953	3143952	-	0.92	NA	intron (NM_030207, intron 18 of 32)	intron (NM_030207, intron 18 of 32)	19950	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
1-343	chr3	106251417	106251416	-	0.916666666666667	NA	Intergenic	MMERVK9C_I-int|LTR|ERVK	-31937	NM_145126	104183		NM_145126	ENSMUSG00000063779	Chil4	Chi3l4|Ym2	chitinase-like 4	protein-coding
1-688	chrX	31234871	31234870	+	0.916666666666667	NA	Intergenic	MuRRS4-int|LTR|ERV1	-101499	NM_001085551	668958		NM_001085551	ENSMUSG00000094558	Btbd35f11	Gm14346	BTB domain containing 35, family member 11	protein-coding
1-175	chr13	12922347	12922346	+	0.916666666666667	NA	Intergenic	B1_Mus2|SINE|Alu	83047	NM_031191	18811		NM_031191	ENSMUSG00000079092	Prl2c2	Ghd2|MRP-1|PLF-1|Plf|Plf1	prolactin family 2, subfamily c, member 2	protein-coding
1-333	chr3	106157219	106157218	-	0.916666666666667	NA	intron (NM_009892, intron 5 of 10)	MLTR18C_MM|LTR|ERVK	10346	NM_009892	12655		NM_009892	ENSMUSG00000040809	Chil3	Chi3l3|ECF-L|Ym1	chitinase-like 3	protein-coding
1-113	chr11	3127607	3127606	-	0.914529914529915	NA	non-coding (NR_003517, exon 3 of 7)	non-coding (NR_003517, exon 3 of 7)	3604	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
1-276	chr17	13451418	13451417	+	0.91304347826087	NA	Intergenic	RSINE1|SINE|B4	-70039	NR_030763	272667		NR_030763	ENSMUSG00000121414	Smok4a	4930513D10Rik|Smok2c	sperm motility kinase 4A	pseudo
1-208	chr13	119608916	119608915	-	0.911764705882353	NA	intron (NM_001370627, intron 2 of 2)	B1_Mus2|SINE|Alu	-14904	NM_020279	56838		NM_020279	ENSMUSG00000074715	Ccl28	CCK1|MEC|Scya28	C-C motif chemokine ligand 28	protein-coding
1-136	chr11	24136335	24136334	+	0.909090909090909	NA	intron (NM_001242934, intron 2 of 3)	intron (NM_001242934, intron 2 of 3)	36447	NR_167719	78200		NR_167718	ENSMUSG00000085516	4930538E20Rik	-	RIKEN cDNA 4930538E20 gene	ncRNA
1-541	chr5	15678770	15678769	+	0.909090909090909	NA	Intergenic	Intergenic	-1941	NR_001585	75858		NR_001585	ENSMUSG00000089871	Speer4cos	4930568L21Rik|SPEER-7|Speer7-ps|Speer7-ps1	spermatogenesis associated glutamate (E)-rich protein 4C, opposite strand transcript	pseudo
1-105	chr10	113960058	113960057	-	0.909090909090909	NA	Intergenic	Intergenic	-841669	NR_155864	102633245		NR_155864	ENSMUSG00000084865	Gm15723	-	predicted gene 15723	ncRNA
1-493	chr5	15043614	15043613	-	0.909090909090909	NA	Intergenic	Intergenic	-10606	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-517	chr5	15487091	15487090	+	0.909090909090909	NA	Intergenic	Intergenic	-10554	NM_001374725	100861702		NM_001374725	ENSMUSG00000099762	Gm21149	-	predicted gene, 21149	protein-coding
1-640	chr7	130443524	130443523	-	0.909090909090909	NA	intron (NM_001136054, intron 10 of 11)	MERVL-int|LTR|ERVL	76057	NM_013799	11907		NM_013799	ENSMUSG00000030850	Ate1	-	arginyltransferase 1	protein-coding
1-38	chr1	85616938	85616937	-	0.909090909090909	NA	intron (NM_001013817, intron 5 of 16)	intron (NM_001013817, intron 5 of 16)	-13046	NM_175397	109032		NM_030194	ENSMUSG00000070034	Sp110	5031415C07Rik|52kDa|5830484A20Rik|Ifi75|Ipr1	Sp110 nuclear body protein	protein-coding
1-629	chr7	43175406	43175405	+	0.909090909090909	NA	Intergenic	Lx3B|LINE|L1	-2185	NM_001034893	668620		NM_001034893	ENSMUSG00000064194	Zfp936	EG435970|EG668620|Gm9272|I1C0022H11Rik	zinc finger protein 936	protein-coding
1-19	chr1	85249559	85249558	+	0.903225806451613	NA	intron (NM_001037909, intron 5 of 6)	intron (NM_001037909, intron 5 of 6)	21008	NM_001037909	620078		NM_175219	ENSMUSG00000052477	Sp140l2	4930565N07Rik|C130026I21Rik	Sp140 nuclear body protein like 2	protein-coding
1-508	chr5	15461442	15461441	-	0.9	NA	Intergenic	Intergenic	15095	NM_001374725	100861702		NM_001374725	ENSMUSG00000099762	Gm21149	-	predicted gene, 21149	protein-coding
1-79	chr1	109039515	109039514	+	0.9	NA	Intergenic	L1Md_T|LINE|L1	-943386	NM_001316743	241201		NM_172853	ENSMUSG00000026312	Cdh7	9330156F07Rik|CDH7L1	cadherin 7, type 2	protein-coding
1-586	chr5	145662308	145662307	-	0.9	NA	Intergenic	L1Md_F|LINE|L1	57829	NM_017396	53973		NM_017396	ENSMUSG00000075551	Cyp3a41a	Cyp3a41	cytochrome P450, family 3, subfamily a, polypeptide 41A	protein-coding
1-257	chr17	6924445	6924444	-	0.9	NA	intron (NM_001083945, intron 2 of 7)	MuRRS-int|LTR|ERV1	23912	NM_001083945	100037282		NM_001083945	ENSMUSG00000023806	Rsph3b	Rshl2b	radial spoke 3B homolog (Chlamydomonas)	protein-coding
1-370	chr4	130187148	130187147	+	0.9	NA	Intergenic	L1ME4b|LINE|L1	-12025	NM_023476	94242		NM_023476	ENSMUSG00000028776	Tinagl1	1110021J17Rik|AZ-1|AZ1|Arg1|Lcn7|TARP|Tinagl	tubulointerstitial nephritis antigen-like 1	protein-coding
1-566	chr5	32739346	32739345	+	0.896907216494845	NA	exon (NM_177298, exon 4 of 8)	exon (NM_177298, exon 4 of 8)	6997	NM_001347332	320951		NM_177298	ENSMUSG00000023452	Pisd	9030221M09Rik	phosphatidylserine decarboxylase	protein-coding
1-114	chr11	3128981	3128980	+	0.896551724137931	NA	non-coding (NR_003517, exon 4 of 7)	non-coding (NR_003517, exon 4 of 7)	4978	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
1-426	chr4	147292363	147292362	+	0.894736842105263	NA	intron (NM_001378742, intron 1 of 4)	MYSERV6-int|LTR|ERVK	-13242	NM_001384232	115489950		NM_001384232	ENSMUSG00000078498	Zfp988	Gm13151	zinc finger protein 988	protein-coding
1-317	chr2	105945990	105945989	-	0.894736842105263	NA	intron (NM_028260, intron 5 of 6)	L1Md_A|LINE|L1	41351	NM_028260	66541		NM_028260	ENSMUSG00000042670	Immp1l	1500034J20Rik|2610528O17Rik	IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae)	protein-coding
1-378	chr4	145834054	145834053	+	0.892857142857143	NA	Intergenic	B2_Mm1a|SINE|B2	-3166	NR_033612	236069		NR_033612	ENSMUSG00000096233	Gm13238	-	carnitine deficiency-associated gene expressed in ventricle 3 pseudogene	pseudo
1-195	chr13	119488750	119488749	+	0.892857142857143	NA	promoter-TSS (NR_027974)	promoter-TSS (NR_027974)	276	NM_001370627	633640		NM_001039244	ENSMUSG00000074634	Tmem267	EG633640|Gm7120	transmembrane protein 267	protein-coding
1-42	chr1	88220772	88220771	+	0.891891891891892	NA	TTS (NM_201645)	TTS (NM_201645)	-6249	NM_001281466	100040766		NM_001177364	ENSMUSG00000079429	Mroh2a	Heatr7b1	maestro heat-like repeat family member 2A	protein-coding
1-212	chr13	119613627	119613626	+	0.888888888888889	NA	Intergenic	Intergenic	-10193	NM_020279	56838		NM_020279	ENSMUSG00000074715	Ccl28	CCK1|MEC|Scya28	C-C motif chemokine ligand 28	protein-coding
1-288	chr17	49447666	49447665	-	0.888888888888889	NA	intron (NM_020042, intron 4 of 10)	ETnERV3-int|LTR|ERVK	19301	NM_020042	56738		NM_020042	ENSMUSG00000064120	Mocs1	3110045D15Rik	molybdenum cofactor synthesis 1	protein-coding
1-428	chr4	147306399	147306398	+	0.888888888888889	NA	intron (NM_001384232, intron 1 of 3)	intron (NM_001384232, intron 1 of 3)	794	NM_001384232	115489950		NM_001384232	ENSMUSG00000078498	Zfp988	Gm13151	zinc finger protein 988	protein-coding
1-211	chr13	119611408	119611407	+	0.884615384615385	NA	TTS (NM_001177666)	TTS (NM_001177666)	-12412	NM_020279	56838		NM_020279	ENSMUSG00000074715	Ccl28	CCK1|MEC|Scya28	C-C motif chemokine ligand 28	protein-coding
1-184	chr13	93934896	93934895	+	0.88235294117647	NA	intron (NM_009712, intron 6 of 7)	intron (NM_009712, intron 6 of 7)	-122901	NM_172589	218454		NM_172589	ENSMUSG00000045312	Lhfpl2	6030465B15|mKIAA0206|vgim	lipoma HMGIC fusion partner-like 2	protein-coding
1-96	chr10	58212302	58212301	+	0.88235294117647	NA	Intergenic	Intergenic	20374	NM_001081954	664783		NM_001081954		Dux	AW822073|Dux4|Duxbl|EG664783	double homeobox	protein-coding
1-575	chr5	94455724	94455723	+	0.88235294117647	NA	Intergenic	L1Md_F2|LINE|L1	-70561	NM_001243938	100041102		NM_001243937	ENSMUSG00000095074	Pramel42	Gm3139	PRAME like 42	protein-coding
1-565	chr5	32739334	32739333	+	0.881720430107527	NA	exon (NM_177298, exon 4 of 8)	exon (NM_177298, exon 4 of 8)	7009	NM_001347332	320951		NM_177298	ENSMUSG00000023452	Pisd	9030221M09Rik	phosphatidylserine decarboxylase	protein-coding
1-250	chr17	3079541	3079540	-	0.881720430107527	NA	non-coding (NR_003519, exon 3 of 8)	non-coding (NR_003519, exon 3 of 8)	4643	NR_003519	328734		NR_003519		Pisd-ps2	D030013I16Rik	phosphatidylserine decarboxylase, pseudogene 2	pseudo
1-142	chr12	20227668	20227667	-	0.880952380952381	NA	Intergenic	MMERGLN-int|LTR|ERV1	588112	NR_015521	69513		NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA
1-209	chr13	119609668	119609667	+	0.88	NA	3' UTR (NM_001039244, exon 3 of 3)	3' UTR (NM_001039244, exon 3 of 3)	-14152	NM_020279	56838		NM_020279	ENSMUSG00000074715	Ccl28	CCK1|MEC|Scya28	C-C motif chemokine ligand 28	protein-coding
1-18	chr1	85215103	85215102	+	0.878787878787879	NA	intron (NM_001378664, intron 1 of 1)	RMER19B|LTR|ERVK	15491	NM_001081746	665378		NM_001081746	ENSMUSG00000079457	Gm7609	EG665378	predicted pseudogene 7609	protein-coding
1-123	chr11	3144031	3144030	-	0.877551020408163	NA	intron (NM_030207, intron 18 of 32)	intron (NM_030207, intron 18 of 32)	20028	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
1-173	chr13	12891559	12891558	-	0.875	NA	Intergenic	Intergenic	-91479	NM_011118	18812		NM_011118	ENSMUSG00000056457	Prl2c3	Ghd1|MRP-2|MRP-3|Mrpplf3|PLF-2|PLF-3|Plf2|Prl2c4|mrp/plf3	prolactin family 2, subfamily c, member 3	protein-coding
1-205	chr13	119597618	119597617	+	0.875	NA	intron (NM_001370626, intron 2 of 2)	intron (NM_001370626, intron 2 of 2)	-26202	NM_020279	56838		NM_020279	ENSMUSG00000074715	Ccl28	CCK1|MEC|Scya28	C-C motif chemokine ligand 28	protein-coding
1-266	chr17	13239161	13239160	-	0.869565217391304	NA	Intergenic	PB1D10|SINE|Alu	8897	NM_001167913	236574		NM_001167913	ENSMUSG00000073457	Smok2b	Gm1847|Smok+129	sperm motility kinase 2B	protein-coding
1-336	chr3	106172727	106172726	-	0.866666666666667	NA	Intergenic	L1Md_F2|LINE|L1	-5162	NM_009892	12655		NM_009892	ENSMUSG00000040809	Chil3	Chi3l3|ECF-L|Ym1	chitinase-like 3	protein-coding
1-330	chr3	93757308	93757307	-	0.866666666666667	NA	Intergenic	MMETn-int|LTR|ERVK	-39091	NM_207272	399675		NM_207272	ENSMUSG00000060256	Tdpoz4	-	TD and POZ domain containing 4	protein-coding
1-268	chr17	13328829	13328828	-	0.866666666666667	NA	Intergenic	Intergenic	-25744	NM_001167578	100041352		NM_001167578	ENSMUSG00000052469	Tcp10c	D17Leh66C|D17Leh66ca|Gm9880|T66C-a|Tcp-10c	t-complex protein 10c	protein-coding
1-486	chr5	15022038	15022037	+	0.866666666666667	NA	Intergenic	Intergenic	10970	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-425	chr4	147284834	147284833	-	0.866666666666667	NA	intron (NM_001378742, intron 1 of 4)	intron (NM_001378742, intron 1 of 4)	-20771	NM_001384232	115489950		NM_001384232	ENSMUSG00000078498	Zfp988	Gm13151	zinc finger protein 988	protein-coding
1-315	chr2	98516498	98516497	+	0.866666666666667	NA	Intergenic	Intergenic	1048840	NM_001363049	241568		NM_178725	ENSMUSG00000050587	Lrrc4c	6430556C10Rik|NGL-1	leucine rich repeat containing 4C	protein-coding
1-334	chr3	106157671	106157670	-	0.863636363636364	NA	intron (NM_009892, intron 5 of 10)	MLTR18C_MM|LTR|ERVK	9894	NM_009892	12655		NM_009892	ENSMUSG00000040809	Chil3	Chi3l3|ECF-L|Ym1	chitinase-like 3	protein-coding
1-167	chr13	12811066	12811065	-	0.857142857142857	NA	Intergenic	L1_Mus3|LINE|L1	-10986	NM_011118	18812		NM_011118	ENSMUSG00000056457	Prl2c3	Ghd1|MRP-2|MRP-3|Mrpplf3|PLF-2|PLF-3|Plf2|Prl2c4|mrp/plf3	prolactin family 2, subfamily c, member 3	protein-coding
1-664	chr8	20302971	20302970	-	0.857142857142857	NA	Intergenic	RLTR10E|LTR|ERVK	-5538	NR_030708	547150		NR_030708	ENSMUSG00000121492	6820431F20Rik	-	cadherin 11 pseudogene	pseudo
1-368	chr4	122024983	122024982	+	0.857142857142857	NA	Intergenic	RLTR45-int|LTR|ERVK	-104149	NM_001378656	666931		NM_001378656		Gm10573	-	predicted gene 10573	protein-coding
1-698	chrX	169979079	169979078	+	0.857142857142857	NA	promoter-TSS (NR_029457)	promoter-TSS (NR_029457)	-161	NR_029457	654820		NM_001039559	ENSMUSG00000072844	G530011O06Rik	-	RIKEN cDNA G530011O06 gene	ncRNA
1-633	chr7	59861101	59861100	+	0.857142857142857	NA	intron (NR_146211, intron 43 of 171)	intron (NR_146211, intron 43 of 171)	-109520	NR_002895	64243		NR_002895	ENSMUSG00000118899	Gm26504	MBII-85|Pwcr1|Snord116	predicted gene, 26504	snoRNA
1-736	chrY	90807852	90807851	+	0.853658536585366	NA	intron (NR_137282, intron 2 of 2)	intron (NR_137282, intron 2 of 2)	22409	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-122	chr11	3144030	3144029	+	0.851162790697674	NA	intron (NM_030207, intron 18 of 32)	intron (NM_030207, intron 18 of 32)	20027	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
1-57	chr1	88262361	88262360	-	0.85	NA	TTS (NM_001281466)	TTS (NM_001281466)	7048	NR_040291	78605		NR_040291		6430706D22Rik	-	RIKEN cDNA 6430706D22 gene	ncRNA
1-618	chr7	12041571	12041570	-	0.846153846153846	NA	exon (NM_001166731, exon 1 of 1)	exon (NM_001166731, exon 1 of 1)	271	NM_001166731	628946		NM_001166731	ENSMUSG00000095864	Vmn1r77	Gm6935	vomeronasal 1 receptor 77	protein-coding
1-179	chr13	33013443	33013442	+	0.846153846153846	NA	intron (NM_009256, intron 5 of 6)	MTD|LTR|ERVL-MaLR	8901	NM_009256	20723		NM_009256	ENSMUSG00000045827	Serpinb9	CAP-3|CAP3|PI-9|PI9|Spi6|ovalbumin	serine (or cysteine) peptidase inhibitor, clade B, member 9	protein-coding
1-587	chr5	145670610	145670609	+	0.846153846153846	NA	Intergenic	L1Md_F2|LINE|L1	49527	NM_017396	53973		NM_017396	ENSMUSG00000075551	Cyp3a41a	Cyp3a41	cytochrome P450, family 3, subfamily a, polypeptide 41A	protein-coding
1-110	chr11	3127598	3127597	+	0.843283582089552	NA	non-coding (NR_003517, exon 3 of 7)	non-coding (NR_003517, exon 3 of 7)	3595	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
1-301	chr19	34602407	34602406	+	0.84	NA	promoter-TSS (NM_001101605)	promoter-TSS (NM_001101605)	-438	NM_001101605	667373		NM_001101605	ENSMUSG00000079339	Ifit1bl1	Gm14446|Ifit1c	interferon induced protein with tetratricpeptide repeats 1B like 1	protein-coding
1-118	chr11	3133527	3133526	-	0.837962962962963	NA	intron (NM_001363224, intron 25 of 28)	PB1D10|SINE|Alu	9524	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
1-60	chr1	88262408	88262407	-	0.833333333333333	NA	TTS (NM_001281466)	TTS (NM_001281466)	7001	NR_040291	78605		NR_040291		6430706D22Rik	-	RIKEN cDNA 6430706D22 gene	ncRNA
1-32	chr1	85583710	85583709	+	0.833333333333333	NA	intron (NM_175397, intron 9 of 12)	intron (NM_175397, intron 9 of 12)	15101	NM_030194	109032		NM_030194	ENSMUSG00000070034	Sp110	5031415C07Rik|52kDa|5830484A20Rik|Ifi75|Ipr1	Sp110 nuclear body protein	protein-coding
1-264	chr17	13231857	13231856	+	0.833333333333333	NA	intron (NM_001167913, intron 1 of 2)	Lx5|LINE|L1	1593	NM_001167913	236574		NM_001167913	ENSMUSG00000073457	Smok2b	Gm1847|Smok+129	sperm motility kinase 2B	protein-coding
1-131	chr11	6383589	6383588	-	0.833333333333333	NA	Intergenic	MERVL-int|LTR|ERVL	-11537	NM_001005867	52915		NM_028601	ENSMUSG00000041164	Zmiz2	Zimp7	zinc finger, MIZ-type containing 2	protein-coding
1-491	chr5	15043600	15043599	-	0.833333333333333	NA	Intergenic	Intergenic	-10592	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-371	chr4	145407470	145407469	+	0.833333333333333	NA	Intergenic	Intergenic	-56741	NR_002888	545700		NR_002888	ENSMUSG00000052912	Smarca5-ps	9230115A19Rik	SWI/SNF related, matrix associated, actin depenent ragulator of chromatin, subfamily a, member 5, pseudogene	pseudo
1-494	chr5	15045270	15045269	-	0.833333333333333	NA	Intergenic	Intergenic	-12262	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-81	chr1	134369158	134369157	-	0.833333333333333	NA	Intergenic	Intergenic	-7151	NR_151737	57439		NM_020588	ENSMUSG00000042305	Tmem183a	1300007B12Rik|1700020N19Rik|Tmem183	transmembrane protein 183A	protein-coding
1-45	chr1	88253083	88253082	+	0.833333333333333	NA	intron (NM_001281466, intron 31 of 41)	intron (NM_001281466, intron 31 of 41)	16326	NR_040291	78605		NR_040291		6430706D22Rik	-	RIKEN cDNA 6430706D22 gene	ncRNA
1-28	chr1	85507975	85507974	-	0.833333333333333	NA	Intergenic	Intergenic	-36841	NM_001378663	101055758		NM_001378663	ENSMUSG00000118607	Gm7592	EG665338	predicted gene 7592	protein-coding
1-98	chr10	80666843	80666842	+	0.833333333333333	NA	3' UTR (NM_021462, exon 14 of 14)	3' UTR (NM_021462, exon 14 of 14)	9451	NM_021462	17347		NM_021462	ENSMUSG00000020190	Mknk2	2010016G11Rik|Gprk7|Mnk2	MAP kinase-interacting serine/threonine kinase 2	protein-coding
1-128	chr11	3190973	3190972	+	0.833333333333333	NA	intron (NM_001363224, intron 3 of 28)	B1_Mus1|SINE|Alu	2631	NM_030207	78887		NM_030207	ENSMUSG00000023764	Sfi1	-	Sfi1 homolog, spindle assembly associated (yeast)	protein-coding
1-148	chr12	20233581	20233580	+	0.829268292682927	NA	Intergenic	MMERGLN-int|LTR|ERV1	582199	NR_015521	69513		NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA
1-119	chr11	3133535	3133534	-	0.825	NA	intron (NM_001363224, intron 25 of 28)	PB1D10|SINE|Alu	9532	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
1-254	chr17	3082532	3082531	-	0.824561403508772	NA	intron (NR_003519, intron 1 of 7)	intron (NR_003519, intron 1 of 7)	1652	NR_003519	328734		NR_003519		Pisd-ps2	D030013I16Rik	phosphatidylserine decarboxylase, pseudogene 2	pseudo
1-206	chr13	119597637	119597636	+	0.823529411764706	NA	intron (NM_001370626, intron 2 of 2)	intron (NM_001370626, intron 2 of 2)	-26183	NM_020279	56838		NM_020279	ENSMUSG00000074715	Ccl28	CCK1|MEC|Scya28	C-C motif chemokine ligand 28	protein-coding
1-560	chr5	25942292	25942291	-	0.823529411764706	NA	promoter-TSS (NM_001378637)	promoter-TSS (NM_001378637)	75	NM_001378637	100862349		NM_001378637	ENSMUSG00000104824	Gm21663	-	predicted gene, 21663	protein-coding
1-351	chr4	3054267	3054266	-	0.823529411764706	NA	Intergenic	Intergenic	-117817	NM_001167534	100312470		NM_001167534	ENSMUSG00000115072	Vmn1r2	Gm11776	vomeronasal 1 receptor 2	protein-coding
1-15	chr1	85121136	85121135	-	0.821428571428571	NA	Intergenic	RSINE1|SINE|B4	-11282	NM_213615	381287		NM_213615	ENSMUSG00000089844	Sp140l1	A530032D15Rik|Gm1888	Sp140 nuclear body protein like 1	protein-coding
1-180	chr13	37561305	37561304	-	0.818181818181818	NA	Intergenic	Intergenic	-19761	NR_168924	115488147		NR_168924	ENSMUSG00000114784	Gm47754	-	predicted gene, 47754	ncRNA
